Title,Genre,Tags,cast,Rating,type
Weightlifting Fairy Kim Bok Joo,"Comedy, Romance","Korean TV Comedies,Korean TV Shows,International TV Comedies,Romantic International TV Shows,Asian TV Shows,International TV Shows,Romantic Korean TV Shows,International TV Dramas,K-dramas,Comedy Programmes,Drama Programmes,Romantic TV Comedies,Romantic TV Dramas","Hye-Jung Cho, Nam Joo-Hyuk, Jae-yoon Lee, Lee Song-Kyoung",8.4,Series
Hot Date,Comedy,"US TV Shows,TV Comedies,TV Shows,Romantic TV Shows,Romantic TV Comedies","Brian Murphy, Emily Axford",7.1,Series
Strong,"Game-Show, Reality-TV","TV Shows,US TV Shows,Reality, Variety & Talk Shows,Reality TV,Competition Reality TV",Gabrielle Reece,7.2,Series
Im Sorry,Documentary,"TV Shows,TV Comedies","Paul Sorvino, Esai Morales, Kevin Hart, Danny Trejo",9.2,Series
Impractical Jokers,Comedy,"TV Shows,TV Comedies,Reality TV,Competition Reality TV,US TV Shows","James Murray, Brian Quinn, Razor Rizotti, Joe Gatto",8.2,Series
Christiane Amanpour: Sex and Love Around the World,Documentary,"Social & Cultural Docs,TV Shows,Docuseries,Documentaries,US TV Shows",Christiane Amanpour,7.4,Series
Double Decker! Doug and Kirill,Animation,"Action Anime,Anime,Anime Series,Japanese TV Shows",Jamie Marchi,7.0,Series
Oh My Ghost,"Comedy, Drama, Fantasy, Romance","Romantic TV Shows,TV Comedies,TV Shows,TV Horror,TV Dramas,Romantic TV Comedies,Romantic TV Dramas,Thai TV Shows","Ju-hwan Lim, Seul-gi Kim, Park Bo-Young, Jo Jung-Suk",8.1,Series
Maniac,"Comedy, Drama, Sci-Fi","TV Dramedies,TV Comedies,TV Dramas,US TV Shows,TV Shows","Sonoya Mizuno, Jonah Hill, Justin Theroux, Emma Stone",7.8,Series
The Good Cop,"Comedy, Crime, Drama","US Police TV Shows,Police TV Shows,TV Shows,TV Comedies,TV Dramedies,Crime TV Dramas,US TV Shows,TV Dramas","Josh Groban, Monica Barbaro, Tony Danza, Isiah Whitlock Jr.",7.0,Series
Battlefish,Reality-TV,"TV Shows,TV Action & Adventure,Reality, Variety & Talk Shows,US TV Shows",Justin Bradbury,7.2,Series
Hilda,"Animation, Adventure, Comedy, Family, Fantasy","Kids TV,TV Shows,TV Cartoons","Oliver Nelson, Bella Ramsey, Daisy Haggard, Ameerah Falzon-Ojo",8.6,Series
Littlest Pet Shop: A World of Our Own,"Animation, Comedy, Fantasy","TV Shows,Kids TV,TV Cartoons,Kids Music,Animal Tales","Diana Kaarina, Travis Turner, Lili Beaudoin, Ingrid Nilson",6.6,Series
Al Hayba,"Action, Romance","TV Shows,Crime TV Shows,TV Dramas","Mona Wassef, Oweiss Mkhallalati, Nadine Nassib Njeim, Taim Hasan",7.5,Series
Cabins in the Wild with Dick Strawbridge,Reality-TV,"Reality, Variety & Talk Shows,TV Shows,British TV Shows,Reality TV,Competition Reality TV,Science & Nature TV,Home & Garden Reality TV",William Hardie,6.8,Series
Car Masters: Rust to Riches,Reality-TV,"TV Shows,US TV Shows,Reality, Variety & Talk Shows","Shawn Pilot, Tony Quinones, Michael 'Caveman' Pyle, Constance Nunes",8.8,Series
Norm Macdonald Has a Show,"Comedy, Talk-Show","TV Comedies,Reality, Variety & Talk Shows,US TV Shows,Stand-up Comedy & Talk Shows,TV Shows","Adam Eget, Norm MacDonald",8.7,Series
The Dragon Prince,"Animation, Adventure, Drama, Family, Fantasy, Thriller","TV Action & Adventure,TV Sci-Fi & Fantasy,Kids TV,TV Cartoons,TV Shows","Jack De Sena, Sasha Rojen, Jason Simpson, Paula Burrows",8.4,Series
The Rise of Phoenixes,"Drama, History, Romance","TV Dramas,TV Action & Adventure,TV Shows,Romantic TV Shows,Asian TV Shows,Period Pieces,Romantic TV Dramas,Chinese TV Shows,TV Shows Based on Books","Hong Yuan, Ou Wang, Kun Chen, Ni Ni",8.7,Series
Daniel Sloss: Live Shows,Comedy,"Stand-up Comedy & Talk Shows,US TV Shows,TV Shows,Stand-up Comedy,TV Comedies",Daniel Sloss,8.6,Series
First and Last,Documentary,"Documentaries,TV Shows,US TV Shows","Velma S., Shantee G., Alex R.",6.8,Series
Lovesick,Comedy,"Romantic TV Shows,Asian TV Shows,TV Dramas,TV Shows,Romantic TV Dramas,Teen TV Shows,TV Shows Based on Books,Thai TV Shows,LGBTQ TV Shows","Johnny Flynn, Daniel Ings, Antonia Thomas, Joshua McGuire",8.1,Series
A Taiwanese Tale of Two Cities,Drama,"TV Shows,TV Dramas,Chinese TV Shows,Taiwanese TV Shows","Tammy Chen, Shao-hua Lung, Peggy Tseng, Sheng-hao Wen",6.7,Series
Monster,Drama,"International TV Shows,Asian TV Shows,International TV Dramas,Korean TV Shows","Gi-woong Park, Claudia Kim, Yu-ri Sung, Ji-Hwan Kang",7.7,Series
Ultimate Beastmaster Australia,"Game-Show, Reality-TV","US TV Shows,TV Shows,Reality TV","Luis Ernesto Franco, Tiki Barber, Rafinha Bastos, Inés Sainz",7.3,Series
Ultimate Beastmaster Great Britain,"Game-Show, Reality-TV","Reality TV,TV Shows,US TV Shows,Competition Reality TV,Family Watch Together TV","Luis Ernesto Franco, Tiki Barber, Rafinha Bastos, Inés Sainz",7.3,Series
Paradise PD,"Animation, Action, Comedy, Crime",,"Sarah Chalke, Kyle Kinane, Tom Kenny, David Herman",6.9,Series
GHOUL,"Animation, Action, Drama, Fantasy, Horror, Mystery, Thriller","TV Horror,TV Thrillers,TV Shows,TV Dramas","Adam Gibbs, Mikaela Krantz, Natsuki Hanae, Austin Tindle",6.9,Series
Take My Brother Away,Drama,"TV Dramas,Teen TV Shows,Asian TV Shows,TV Shows,TV Comedies,Chinese TV Shows,TV Shows Based on Comics","Hu Yong Tao, Xiao-Yu Lu, Joseph Zeng, Qian Sun",7.0,Series
Great News,Comedy,"Sitcoms,TV Comedies,US TV Shows,TV Shows","Nicole Richie, Adam Campbell, Andrea Martin, Briga Heelan",7.0,Series
Deadwind,"Crime, Drama, Mystery, Thriller","TV Thrillers,TV Shows,TV Dramas,Crime TV Dramas,Crime TV Shows","Noa Tola, Lauri Tilkanen, Mimosa Willamo, Pihla Viitala",7.2,Series
Stay Here,Reality-TV,"Variety Entertainment,Reality TV,US TV Shows,Reality, Variety & Talk Shows,TV Shows,Food & Travel TV","Peter Lorimer, Genevieve Gorder",7.5,Series
Magic for Humans,Comedy,"Reality TV,US TV Shows,Reality, Variety & Talk Shows,TV Shows,Variety Entertainment",Justin Willman,7.2,Series
Disenchantment,"Animation, Action, Adventure, Comedy, Fantasy","US TV Shows,TV Action & Adventure,TV Sci-Fi & Fantasy,TV Animated Comedies,TV Comedies,TV Shows","John DiMaggio, Eric André, Nat Faxon, Abbi Jacobson",7.2,Series
Ultraviolet,Crime,"Crime TV Dramas,TV Shows,TV Dramas,Crime TV Shows,Polish TV Shows,TV Shows Based on Books","Marta Nieradkiewicz, Bartlomiej Topa, Viet Anh Do, Magdalena Czerwinska",7.0,Series
Are You Ready? Hey You Girl!,Romance,"Japanese TV Comedies,Japanese TV Shows,Japanese Youth TV Dramas,Romantic Japanese TV Shows,Japanese TV Dramas","Shouma Kai, Kentaro Ito, Erika Karata, Teppei Koike",6.6,Series
All Out!!,"Comedy, Drama","Anime Dramas,Anime Series,Anime,TV Shows,Teen Programmes,Japanese TV Programmes,Sports Anime,School Anime,Family Watch Together TV,TV Shows Based on Comics","Bridgette B., Ron Jeremy, Geraldine Viswanathan, Alex Hafner",2.7,Series
Marriage Contract,Drama,"Romantic International TV Shows,International TV Dramas,International TV Shows,Asian TV Shows,Korean TV Shows,TV Dramas,Romantic TV Dramas","Kim You-Jin, Seo-jin Lee",7.6,Series
The House of Flowers,"Comedy, Drama","TV Dramas,TV Comedies,TV Shows","Dario Yazbek Bernal, Cecilia Suárez, Juan Pablo Medina, Claudette Maillé",7.7,Series
72 Dangerous Animals: Asia,Documentary,"TV Shows,Science & Nature Docs,Documentaries","Romulus Whitaker, Paul Rosolie, Bryan Grieg Fry, Bob Brisbane",6.6,Series
Ponysitters Club,Family,"TV Shows,Kids TV,Animal Tales,TV Dramas,Canadian TV Programmes,TV Programmes Based on Books,Family Watch Together TV","Madeline Leon, Cailan Laine Punnewaert, Hugh Wilson, Morgan Neundorf",7.0,Series
Million Pound Menu,"Game-Show, Reality-TV","TV Shows,Food & Travel TV,British TV Shows,Reality, Variety & Talk Shows,Reality TV","Fred Sirieix, Matthew Hawksley",6.6,Series
Insatiable,"Comedy, Drama, Thriller","Teen TV Shows,TV Dramas,US TV Shows,TV Shows,TV Comedies","Dallas Roberts, Debby Ryan, Christopher Gorham, Kimmy Shields",6.5,Series
Doctor Prisoner,"Drama, Mystery, Thriller","TV Dramas,Korean TV Shows,TV Thrillers","Choi Wonyoung, Min Namkoong, Byeong-cheol Kim, Nara",7.7,Series
The Chef in a Truck,Documentary,"Reality TV,Docuseries,French Documentaries,French TV Shows,Food & Travel TV","Pierre Gagnaire, Dominique Ansel, François Perret, Pierre Hermé",8.0,Series
Crisálida,Drama,"Brazilian TV Shows,Latin American TV Shows,TV Dramas","Chico Caprario, Thiago Teles, Angela Eiko Okumura, Harry Adams",8.2,Series
Re:ZERO -Starting Life in Another World-,"Animation, Adventure, Drama, Fantasy, Horror, Mystery, Romance, Thriller","Anime based on Light Novels,Mystery & Thriller Anime,TV Thrillers,Sci-Fi & Fantasy Anime,Anime Series,Japanese TV Shows","Rie Murakawa, Sean Chiplock, Yûsuke Kobayashi, Rie Takahashi",8.1,Series
Akbar Birbal,"Comedy, Drama, History, Mystery","Drama Programmes,Comedy Programmes,Kids TV,Hindi-language TV Programmes,Indian Programmes,TV Cartoons","Vishal Kotian, Sunil Chauhan, Kiku Sharda, Delnaaz Irani",7.3,Series
Comidark Films,"Comedy, Drama","Alien Sci-Fi,Comedies,Turkish Movies,Sci-Fi & Fantasy,Dramas,Sci-Fi Dramas","Cem Yilmaz, Ozan Güven, Cemre Ebuzziya, Zafer Algöz",6.4,Series
Dark Blue Kiss,Romance,"Romantic TV Comedies,Thai TV Shows,TV Shows Based on Books,TV Comedies","Tawan Vihokratana, Gawin Caskey, Thitipoom Techaapaikhun, Suphakorn Sriphothong",7.9,Series
Darwins Game,"Animation, Action, Drama, Mystery","Anime Series,Action Anime,TV Thrillers,Anime for Gamers,Mystery & Thriller Anime,Anime Based on Comics,Japanese TV Shows,Shounen Anime,TV Shows Based on Manga","Reina Ueda, Tia Lynn Ballard, Yûsuke Kobayashi, Nichika Ohmori",7.4,Series
The Prince of Tennis ~ Match! Tennis Juniors ~,Sport,"TV Shows Based on Manga,Chinese TV Shows,Teen TV Shows,TV Dramas",Jun Cao,7.9,Series
At the Dolphin Bay,"Comedy, Drama, Romance","Chinese TV Shows,Taiwanese TV Shows","Joyce Chao, Ambrose Hui, Jill Hsu, Angela Shao-Han Chang",7.2,Series
Touch Your Heart,Romance,"Korean TV Shows,Romantic TV Comedies,TV Comedies","Lee Dong-Wook, Sang-woo Lee, Oh Jeong-Se, Sung Yoon Son",7.7,Series
Her Private Life,"Comedy, Romance","Romantic TV Comedies,TV Comedies,Korean TV Shows","Jung Je-Won, Bo-ra Kim, Park Jin-Joo, Ahn Bo-Hyun",7.7,Series
Hotel Del Luna,"Drama, Fantasy, Horror, Mystery, Romance","TV Horror,Korean TV Shows,Fantasy TV Shows,Comedy Programmes,Romantic TV Comedies","Shin Jeong-geun, Yeo Jin-gu, Bae Hae-Sun, Lee Ji-eun",8.3,Series
He is psychometric,"Fantasy, Mystery, Romance, Thriller","TV Dramas,Crime TV Dramas,Korean TV Shows","Ye-Eun Shin, Kwon Kim, Jin-young Park, Da-som Kim",7.8,Series
Search WWW,"Drama, Romance","TV Dramas,Korean TV Shows,Romantic TV Dramas","Hye-jin Jeon, Jang Ki-Yong, Lee Da-hee, Lim Soo-jung",7.9,Series
Monzón: A Knockout Blow,"Biography, Crime, Drama, History, Sport","TV Dramas,Argentinian TV Shows,Crime TV Dramas,Latin American TV Shows,TV Shows Based on Books","Carla Quevedo, Belén Chavanne, Paloma Ker, Mariano Chiesa",7.9,Series
Drug Squad: Costa del Sol,"Action, Adventure, Drama, Romance, Thriller","TV Action & Adventure,Spanish TV Shows,Crime TV Dramas,TV Dramas","Miki Esparbé, Hugo Silva, Jesús Castro, Álvaro Cervantes",6.8,Series
Love Destiny,"Drama, Fantasy, History, Romance","TV Dramas,TV Sci-Fi & Fantasy,TV Shows Based on Books,Thai TV Shows,Romantic TV Shows,TV Comedies,Romantic TV Comedies,Romantic TV Dramas,Fantasy TV Programmes",Grégory Matthias Garcia,8.0,Series
El Dragón: Return of a Warrior,"Action, Adventure, Drama","Crime TV Shows,Latin American TV Shows,Mexican TV Shows,TV Action & Adventure,TV Dramas,TV Soaps,Crime TV Dramas,Crime TV Soaps","Renata Notni, Sebastián Rulli, Manuel Balbi, Cassandra Sanchez Navarro",7.0,Series
Doctor X Surgeon Michiko Daimon,"Comedy, Drama, Mystery","TV Dramas,Japanese TV Series,Japanese TV Programmes","Ryôko Yonekura, Toshiyuki Nishida, Ittoku Kishibe, Yuki Uchida",7.7,Series
Fleet of Time,"Drama, Romance","Teen TV Shows,Thai TV Shows,TV Dramas,Teen Romance,Romantic TV Shows,TV Shows based on Books,Romantic TV Dramas","Ryan Zheng, Eddie Peng, Ni Ni, Vision Wei",5.6,Series
Astra Lost in Space,"Animation, Action, Sci-Fi","School Anime,TV Sci-Fi & Fantasy,Anime Series,Sci-Fi & Fantasy Anime,Anime based on Comics","Josh Grelle, Sakyiwaa Baah, Dawn Michelle Bennett, Dani Chambers",8.0,Series
Drunk History - Pó? litra historii,Comedy,"Polish TV Shows,TV Comedies","Bartlomiej Magdziarz, Jakub Kamienski, Wojciech Solarz, Daniel Guzdek",6.9,Series
The Alcàsser Murders,"Documentary, Crime","Documentaries,Docuseries,Crime TV Shows,Biographical Documentaries,Spanish TV Shows,Crime Documentaries","Ramón Campos, Fernando García, León Siminiani, Teresa Domínguez",7.1,Series
I Hear You,"Comedy, Romance","TV Dramas,Chinese TV Shows,Romantic TV Shows,TV Shows based on Books,Romantic TV Dramas","Lusi Zhao, Riley Wang",7.3,Series
In the Bosom of a Thorn,Drama,"Middle Eastern TV Shows,TV Dramas",Layla Abdullah,7.2,Series
The Outsiders,"Crime, Drama","Chinese TV Shows,Crime TV Shows,Romantic TV Shows,TV Action & Adventure,Taiwanese TV Shows","Matt Dillon, C. Thomas Howell, Patrick Swayze, Ralph Macchio",7.1,Series
De Fabeltjeskrant,"Animation, Short, Comedy, Family","TV Cartoons,Kids TV","Elsje Scherjon, Frans van Dusschoten, Ger Smit",7.4,Series
Stay Tuned!,"Adventure, Comedy, Fantasy","TV Comedies,Japanese TV Series,TV Dramas,TV Dramas based on Comics","Jeffrey Jones, Pam Dawber, John Ritter, David Tom",6.3,Series
Stupid Cupid,"Adult, Comedy, Fantasy","Thai TV Shows,TV Comedies,Romantic TV Shows,Romantic TV Comedies","Heather Lyn, Steve Hatcher, Keisha, Dillon Day",7.4,Series
I See You,"Crime, Drama, Horror, Mystery, Thriller","TV Dramas,Thai TV Shows","Jon Tenney, Helen Hunt, Owen Teague, Judah Lewis",6.8,Series
2 Weeks,"Crime, Drama","Crime TV Shows,TV Action & Adventure,TV Dramas,Korean TV Shows,Crime TV Dramas","Ha-seon Park, Soo-young Ryu, Kim So-yeon, Lee Joon-Gi",8.0,Series
Kiss The Series,Romance,"Teen Romance,Teen TV Shows,Thai TV Shows,Romantic TV Shows,TV Dramas,Romantic TV Dramas",Korawit Boonsri,7.1,Series
Roonpi Secret Love,Romance,"Romantic TV Shows,Thai TV Shows,Teen TV Shows,Teen Romance","Kanyawee Songmuang, Wachirawit Ruangwiwat, Ingkarat Damrongsakkul, Korapat Kirdpan",6.9,Series
The Confrontation,"Drama, Musical","TV Dramas,Middle Eastern TV Shows","Andrea Drahota, András Kozák, Lajos Balázsovits, Kati Kovács",6.6,Series
The Terminal,"Comedy, Drama, Romance","Middle Eastern TV Shows,TV Dramas","Stanley Tucci, Tom Hanks, Catherine Zeta-Jones, Chi McBride",7.4,Series
Peasants Rebellion,History,"TV Dramas,Period Pieces,Middle Eastern TV Shows,Political TV Shows,Social Issue TV Dramas","Ward El Kal, Bassem Moughnie, Aimée Sayah, Sara Abi Kanaan",8.6,Series
The Land of Hypocrisy,Comedy,"TV Dramas,Middle Eastern TV Shows,TV Comedies,Sitcoms,Fantasy TV Shows,TV Shows Based on Books,Egyptian TV Shows","Mohamad Salah, Muhammad Salah",6.7,Series
This Evening,Documentary,"TV Dramas,Middle Eastern TV Shows,Social Issue TV Dramas,Egyptian TV Shows","Quincy Bryant, Latrenda 'Boosie' Ash, RaMell Ross, Daniel Collins",6.4,Series
See You in Time,"Romance, Sport","TV Dramas,TV Shows,Taiwanese TV Shows,Romantic TV Shows,Chinese TV Shows,Asian TV Shows,Romantic TV Dramas","Peter Kuan, Mini Tsai, Jae-Hoon Kim, Hans Chung",7.3,Series
Demons Path,"Drama, Fantasy, Horror, Thriller","Crime TV Dramas,TV Dramas,TV Shows,Crime TV Shows,Chinese TV Shows","Andrzej Grabowski, Itay Tiran, Tomasz Schuchardt, Agnieszka Zulewska",6.1,Series
Inside the Real Narcos,"Documentary, Crime","Documentaries,British TV Shows,Docuseries,TV Shows,Crime Documentaries",Jason Fox,7.6,Series
Bangkok Love Stories: Hey You!,Drama,"Thai TV Shows,Romantic TV Shows,TV Shows,TV Dramas","Wanida Termthanaporn, Patharamanop Isariy, Kacha Nontanan Anchuleepradit, Meiko Chonnikan Netjui",7.0,Series
Bangkok Love Stories: Innocence,Romance,"TV Shows,TV Dramas,Romantic TV Shows,Thai TV Shows,Romantic TV Dramas,LGBTQ TV Shows","Ten Tosatid Darnkhuntod, Pattaratida Patcharaveerapong, Narupornkamol Chaisang, Max Nattapol Diloknawarit",6.8,Series
Hinomaru Sumo,"Animation, Sport","Sports Anime,Anime released in 2018,Anime Series,Anime based on Comics,Anime,Japanese TV Shows","Stephen Fu, Ricco Fajardo, Tyson Rinehart, Adam Gibbs",7.2,Series
Até que a morte nos separe,Documentary,"Docuseries,Crime Docuseries,Brazilian Documentaries,True Crime Documentaries,Crime Documentaries,Documentaries,TV Shows,Biographical Documentaries,Brazilian TV Shows",,7.2,Series
Ingress: The Animation,"Animation, Action, Sci-Fi","Action Anime,Thriller & Horror Anime,Anime based on a Video Game,Anime Series,Anime,Sci-Fi & Fantasy Anime,Japanese TV Shows","Crispin Freeman, Jalen K. Cassell, Laura Bailey, Kellen Goff",6.6,Series
Dr. Romantic,"Drama, Romance","TV Shows,TV Dramas,Asian TV Shows,Korean Programmes,Social Issue TV Dramas","Min-Jae Kim, Jin Kyung, Woo-min Byeon, Suk-kyu Han",8.3,Series
Radiant,"Animation, Adventure, Fantasy","Anime,Japanese Kids TV,Kids Anime,Anime Series,Kids TV,Japanese TV Shows,TV Shows Based on Comics","Eric Vale, Shawn Gann, Barry Yandell, Caitlin Glass",6.8,Series
The Bride of Habaek,Fantasy,"Asian TV Shows,International TV Comedies,Romantic International TV Shows,Korean TV Shows,Romantic Korean TV Shows,Korean TV Comedies,International TV Shows,International TV Sci-Fi & Fantasy,K-dramas,TV Comedies,Romantic TV Comedies,Fantasy TV Shows,K-dramas based on Webtoon","Kyu Sun Park, Nam Joo-Hyuk, Ju-hwan Lim, Shin Se-Kyung",6.9,Series
Ordinary Heroes,Drama,"Crime TV Dramas,TV Shows,Crime TV Shows,TV Dramas,Political TV Programmes,Italian TV Programmes","Kang-sheng Lee, Mo-Chan Chik, Kwan-Ho Tse, Anthony Chau-Sang Wong",6.9,Series
Paprika,"Animation, Drama, Fantasy, Mystery, Sci-Fi, Thriller","TV Cartoons,Kids TV,TV Shows","Megumi Hayashibara, Katsunosuke Hori, Kôichi Yamadera, Tôru Furuya",7.7,Series
Undercover Law,"Action, Drama","Crime TV Dramas,Crime TV Soaps,TV Shows,TV Action & Adventure,TV Soaps Featuring a Strong Female Lead,TV Soaps,TV Dramas,Latin American TV Shows,TV Thrillers,Colombian TV Shows","Patrick Forster-Delmas, Toto Vega, Luis Mesa, Valeria Galviz",7.3,Series
Cathedral of the Sea,"Drama, History","TV Dramas,TV Shows","Ginés García Millán, Pablo Derqui, Aitor Luna, Jordi Aguilar",7.5,Series
Nuestra Lucha Libre,Documentary,"Martial Arts, Boxing & Wrestling,TV Shows,Sports Documentaries,Sports & Fitness,Spanish-Language TV Shows,Docuseries,Social & Cultural Docs,Documentaries,International TV Shows,International Documentaries,Mexican TV Shows,Latin American TV Shows","Atlantis, Negro Casas, Shigeo Okumura, Ultimo Guerrero",7.4,Series
The Creative Indians,Documentary,"TV Shows,Documentaries,Docuseries,Indian Programmes,Lifestyle",Nawazuddin Siddiqui,8.4,Series
Switched,"Drama, Sci-Fi","TV Shows,TV Thrillers,Asian TV Shows,TV Dramas,Teen TV Shows,Japanese TV Shows,TV Shows Based on Manga","Megumi Seki, Daiki Shigeoka, Tomohiro Kamiyama, Kaya Kiyohara",7.2,Series
Becoming Champions,"Documentary, Sport","Documentaries,TV Shows,Sports Documentaries,Docuseries,Mexican TV Shows,Latin American TV Shows,Sports & Fitness",,6.7,Series
Restaurant to Another World,"Animation, Fantasy, Sci-Fi","Anime Fantasy,Japanese TV Shows,TV Shows,Anime Series,Anime","Jill Harris, Charles C. Campbell, Monica Rial, Christopher Sabat",7.3,Series
Yu Yu Hakusho: Ghost Files,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance","Anime,School Anime,Japanese TV Shows,Anime Action,Anime Series,TV Shows Based on Manga,Shounen Anime,TV Shows Based on Comics","Nozomu Sasaki, Cynthia Cranz, Justin Cook, Christopher Sabat",8.5,Series
QB1: Beyond the Lights,"Documentary, Sport","US TV Shows,Documentaries,TV Shows,Sports Documentaries","Tayvon Bowers, Lance LeGendre, Tate Martell, Jake Fromm",7.8,Series
Sachiiro no One Room,Drama,"Japanese TV Dramas,Japanese TV Shows","Shima Ohnishi, Hôka Kinoshita, Miyoko Akaza, Akiko Hinagata",6.9,Series
Cupcake and Dino - General Services,"Animation, Action, Comedy, Family","TV Cartoons,TV Comedies,Kids TV,TV Shows,TV Animated Comedies","Mark Forward, Joris Jarsky, Kyle Dooley, Justin Collette",7.6,Series
Welcome to the Family,Comedy,"TV Comedies,TV Dramas,TV Shows,TV Dramedies","Ivan Massagué, Melani Olivares, Yolanda Ramos, Nao Albet",6.7,Series
Jimmy: The True Story of a True Idiot,Comedy,"TV Comedies,TV Dramas,TV Shows,Asian TV Shows,Japanese TV Shows","Tetsuji Tamayama, Akiyoshi Nakao, Seiji Rokkaku, Hiroyuki Onoue",6.8,Series
Final Space,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi","US TV Shows,TV Action & Adventure,TV Comedies,TV Sci-Fi & Fantasy,TV Animated Comedies,TV Shows,Sci-Fi TV","Fred Armisen, Olan Rogers, Tom Kenny, Tika Sumpter",8.3,Series
Sirius the Jaeger,"Animation, Action, History, Horror","International TV Thrillers & Mysteries,International TV Sci-Fi & Fantasy,Thriller & Horror Anime,US TV Shows,International TV Shows,Anime,Action Anime,Anime Series,Fantasy Anime,Japanese TV Shows,TV Thrillers,Mystery & Thriller Anime","Ken'yû Horiuchi, Yûto Uemura, Yûsuke Kobayashi, Nanako Mori",6.8,Series
Something About 1%,"Comedy, Romance","International TV Shows,Romantic International TV Shows,Asian TV Shows,International TV Comedies,Korean TV Shows","Hae-In Lee, So-Min Jun, Ha Seok-Jin",7.7,Series
A Place Further than the Universe,"Animation, Adventure, Comedy, Drama","Teen TV Shows,Anime Dramas,Anime,TV Shows,Anime Series,Japanese TV Shows,School Anime,Family Watch Together TV","Inori Minase, Kana Hanazawa, Saori Hayami, Yuka Iguchi",8.2,Series
Yuri on Ice,"Animation, Comedy, Drama, Romance, Sport","Anime,Japanese TV Shows,Anime Dramas,Anime Series","Jun'ichi Suwabe, Josh Grelle, Toshiyuki Toyonaga, Jerry Jewell",8.3,Series
Meteor Garden,"Comedy, Drama, Romance","TV Dramas,Romantic TV Shows,Chinese TV Shows,TV Shows,Teen TV Shows,Romantic TV Dramas,TV Programmes Based on Manga","Vic Chou, Jerry Yan, Ken Zhu, Barbie Hsu",7.8,Series
The Epic Tales of Captain Underpants,"Animation, Short, Action, Adventure, Comedy, Family","TV Cartoons,TV Shows,Kids TV,Comic Book & Superhero TV,TV Animated Comedies,TV Comedies,TV Shows Based on Books,Family Watch Together TV","Ramone Hamilton, Nat Faxon, Sean Astin, Jay Gragnani",6.7,Series
How NOT to Summon a Demon Lord,"Animation, Adventure, Comedy, Fantasy","Anime Sci-Fi & Fantasy,Anime Series,Anime,Anime Action,Japanese TV Shows,Anime based on Light Novels","Azumi Waki, Jad Saxton, Masaaki Mizunaka, Yû Serizawa",7.1,Series
Ultraman R/B,"Action, Sci-Fi","International Kids TV,International TV Shows,Kids TV","Arisa Sonohara, Ryosuke Koike, Yuya Hirata, Ginnojô Yamazaki",8.3,Series
Mr. Sunshine,"Action, Drama, History, Romance, War","TV Shows,TV Dramas,Period Pieces,Korean TV Shows,Romantic TV Shows,Political TV Shows,Romantic TV Dramas,Romantic Favorites","Yoo Yeon-Seok, Kim Tae-ri, Lee Byung-Hun, Min-Jung Kim",8.8,Series
On Children,"Drama, Family, Sci-Fi","Chinese TV Shows,Teen TV Shows,TV Dramas,TV Sci-Fi & Fantasy,TV Shows,Taiwanese TV Shows,TV Shows Based on Books,Sci-Fi TV","Hsin-Yu Ling, Tzu-Chuan Liu, Emilia Chen, Yu-Xuan Wang",7.4,Series
Shopping King Louis,"Comedy, Romance","Romantic International TV Shows,International TV Shows,International TV Comedies,Korean TV Shows,Asian TV Shows,International TV Dramas,Comedy Programmes,Drama Programmes,Romantic TV Comedies,Romantic TV Dramas","Eom Hyo-Seob, In-Guk Seo, Nam Ji-Hyun, Yoon Sang-Hyun",7.4,Series
Good Girls,"Comedy, Crime, Drama","TV Shows,TV Dramas,TV Comedies,Crime TV Dramas,TV Dramedies,US TV Shows","Christina Hendricks, Retta, Mae Whitman, Reno Wilson",7.8,Series
Booba,"Animation, Comedy, Family","TV Shows,TV Cartoons,TV Animated Comedies,TV Comedies,Kids TV,Russian TV Shows","Elena Kareva, Roman Karev",6.9,Series
Lastman,"Animation, Action, Adventure, Horror, Mystery","TV Action & Adventure,TV Shows,French TV Shows,TV Shows Based on Comics","Tyler Bunch, Coryn Williams, Martial Le Minoux, Maëlys Ricordeau",8.7,Series
The Asterisk War,"Animation, Action, Comedy, Fantasy, Romance, Sci-Fi","Anime Action,Anime Fantasy,Anime,Anime Series,TV Shows,Japanese TV Shows,Sci-Fi & Fantasy Anime,Anime based on Light Novels","Kira Buckland, Atsushi Tamaru, Ai Kakuma, Erik Scott Kimerer",6.9,Series
The Forest,"Crime, Drama","TV Dramas,TV Thrillers,TV Shows,Crime TV Dramas,Crime TV Shows","Alexia Barlier, Samuel Labarthe, Suzanne Clément, Frédéric Diefenthal",7.3,Series
Churchills Secret Agents: The New Recruits,"Documentary, History","Reality, Variety & Talk Shows,TV Shows,British TV Shows","Robert Copsey, Debbey Clitheroe, William Beresford Davies, Douglas Henshall",7.7,Series
Secret City,"Mystery, Thriller","Police TV Shows,TV Shows,TV Dramas,TV Mysteries,Political TV Shows,Australian TV Shows,TV Thrillers,TV Shows Based on Books","Marcus Graham, Justin Smith, Anna Torv, Aleks Mikic",7.4,Series
Dream High,"Comedy, Music, Romance","Asian TV Shows,TV Shows,TV Dramas,Music & Musicals,Teen TV Shows,Korean TV Shows","Jin-woon Jung, Kim Soo-Hyun, J.Y. Park, Lee Ji-eun",7.6,Series
